[17:59:31] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[17:59:32] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:59:32] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:59:32] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[17:59:32] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[17:59:32] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:59:32] [ServerMain/INFO]: Reloading ResourceManager: Default
[17:59:35] [Worker-Main-8/INFO]: Loaded 7 recipes
[17:59:36] [Worker-Main-8/INFO]: Loaded 1141 advancements
[17:59:42] [Server thread/INFO]: Starting minecraft server version 1.18
[17:59:42] [Server thread/INFO]: Loading properties
[17:59:42] [Server thread/INFO]: Default game type: SURVIVAL
[17:59:42] [Server thread/INFO]: Generating keypair
[17:59:42] [Server thread/INFO]: Starting Minecraft server on 192.168.0.107:25565
[17:59:43] [Server thread/INFO]: Using default channel type
[17:59:44] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[17:59:44] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[17:59:44] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[17:59:44] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[17:59:44] [Server thread/INFO]: Preparing level "world"
[18:00:09] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[18:00:12] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[18:00:12] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[18:00:13] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[18:00:13] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[18:00:13] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[18:00:13] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[18:00:13] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[18:00:13] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[18:00:14] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[18:00:14] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[18:00:14] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[18:00:15] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[18:00:16] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[18:00:16] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[18:00:17] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[18:00:17] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[18:00:17] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[18:00:18] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[18:00:19] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[18:00:19] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[18:00:19] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[18:00:20] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[18:00:20] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[18:00:21] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[18:00:21] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[18:00:22] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[18:00:22] [Worker-Main-11/INFO]: Preparing spawn area: 0%
